"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "HTML", "TypeScript JSX", "Markdown", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\statusIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\statusSuccessIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\unCheckIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\icons\usersIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\login_img.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 1, 187
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\not-found.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\uandari-color-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\assets\volkswagen-logo-color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\commons\enums.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 2, 43
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\card\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\circle_progress_indicator\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\dashboard-container\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\input\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 5, 70
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\input\validated.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 1, 113
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\uploadButton\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\basic\userManualButton\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\sidebarTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 8, 52
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\sidebar\sidebarTitle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\layout\topbar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\CellBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\FormBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 1, 8, 76
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\HeadBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\cells\modules\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 22, 4, 45
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 2, 46
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 10, 7, 87
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\CellBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\FormBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 12, 128
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\HeadBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\RowBoard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 3, 5, 61
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AdministratorsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\AllTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 13, 115
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\CoordinatorsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\ManagersTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\TeamLeadersTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\VisualizersTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 6, 59
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\admin-panel\users\modules\Tabs\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\AssitanceRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 6, 7, 168
"c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\AssitenceTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
